version,version_number,anomaly_score,is_anomaly,anomaly_explanation
1.0,1,-0.10814492588245428,1,consistency deviates 2.15σ
1.2,2,-0.024288917325721027,1,side_effects deviates 1.66σ
1.4,3,0.009665331976190683,0,
1.6,4,0.01431584192953339,0,
1.8,5,0.015820586555985727,0,
2.0,6,0.02480199660402571,0,
2.2,7,0.00030595174966407956,0,
2.4,8,0.011751666300710117,0,
2.6,9,-0.002753565746976716,1,consistency deviates 1.20σ
2.8,10,0.006482552758198978,0,
3.0,11,0.005689805142895299,0,
3.2,12,0.014851950751016085,0,
3.4,13,0.03322904306267155,0,
3.6,14,0.018902561812972007,0,
3.8,15,0.036999220470960825,0,
4.0,16,0.03842743551160993,0,
4.2,17,0.0657291418463462,0,
4.4,18,0.0695434703711661,0,
4.6,19,0.07339602440390064,0,
4.8,20,0.0667194115781855,0,
5.0,21,0.09207205320726791,0,
5.2,22,0.04805082044414727,0,
5.4,23,0.0727582714753296,0,
5.6,24,0.084701055276661,0,
5.8,25,0.05168220654874811,0,
6.0,26,0.047470173332826826,0,
6.2,27,0.06072781667976146,0,
6.4,28,0.007817764706008812,0,
6.6,29,0.03954016042255459,0,
6.8,30,0.053503314879633945,0,
