version,ensemble_prob,confidence,alert_level
2.4,0.4355,MEDIUM,CAUTION
2.6,0.46,MEDIUM,CAUTION
2.8,0.4842,MEDIUM,CAUTION
3.0,0.531,MEDIUM,WARNING
3.2,0.5672,MEDIUM,WARNING
3.4,0.5933,MEDIUM,WARNING
3.6,0.843,HIGH,CRITICAL
3.8,0.862,HIGH,CRITICAL
4.0,0.8784,HIGH,CRITICAL
4.2,0.8916,HIGH,CRITICAL
4.4,0.904,HIGH,CRITICAL
4.6,0.9161,HIGH,CRITICAL
4.8,0.9261,HIGH,CRITICAL
5.0,0.9324,HIGH,CRITICAL
5.2,0.9403,HIGH,CRITICAL
5.4,0.9458,HIGH,CRITICAL
5.6,0.9499,HIGH,CRITICAL
5.8,0.9568,HIGH,CRITICAL
6.0,0.9595,HIGH,CRITICAL
6.2,0.9673,HIGH,CRITICAL
6.4,0.9692,HIGH,CRITICAL
6.6,0.9713,HIGH,CRITICAL
6.8,0.9749,HIGH,CRITICAL
