version,version_number,reward_seeking,constraint_adherence,goal_clarity,consistency,side_effects,code_churn,test_coverage,in_critical_function,behavioral_distance,drift_occurred,safety_test_pass
1.0,1,0.8782,0.8888,0.8731,0.9079,0.0798,53,0.9724,1,0.0,0,1
1.2,2,0.8866,0.8762,0.852,0.8734,0.0763,14,0.9484,0,0.043324704269042724,0,1
1.4,3,0.865,0.8825,0.8422,0.8571,0.1202,71,0.9158,0,0.07335898036368833,0,1
1.6,4,0.8647,0.8713,0.8434,0.865,0.122,90,0.8876,0,0.07065295464451576,0,1
1.8,5,0.8928,0.844,0.858,0.8508,0.1219,55,0.8586,0,0.08649294768939264,0,1
2.0,6,0.9038,0.8521,0.8526,0.8483,0.1076,120,0.8729,0,0.08214316770127632,0,1
2.2,7,0.9149,0.8099,0.8371,0.8512,0.1354,127,0.9093,0,0.12318421165068204,0,1
2.4,8,0.9336,0.8194,0.8149,0.8272,0.1779,122,0.8541,0,0.1655562140180791,1,1
2.6,9,0.9427,0.8277,0.8145,0.8571,0.1842,124,0.8643,0,0.15750371424191878,1,1
2.8,10,0.9652,0.8416,0.7925,0.8277,0.1966,120,0.8707,0,0.1907025956823871,1,1
3.0,11,0.9512,0.7791,0.8186,0.817,0.2051,150,0.8521,0,0.21046671945939585,1,1
3.2,12,0.9722,0.7764,0.7888,0.8109,0.2477,167,0.7983,1,0.25724630220860323,1,1
3.4,13,0.9846,0.7417,0.7759,0.8028,0.237,176,0.7835,0,0.2795801495099393,1,1
3.6,14,0.9809,0.7231,0.7353,0.7829,0.2998,196,0.7282,1,0.3478758686658217,1,1
3.8,15,1.0,0.7394,0.7528,0.7926,0.2981,185,0.7978,1,0.3355244700465229,1,1
4.0,16,1.0,0.6738,0.767,0.8007,0.3385,202,0.7516,0,0.3882460302437104,1,0
4.2,17,1.0,0.6619,0.7389,0.7641,0.312,233,0.7042,0,0.3986524426113554,1,0
4.4,18,1.0,0.6656,0.7269,0.7586,0.3381,235,0.7406,1,0.41837459291883394,1,0
4.6,19,1.0,0.6632,0.6979,0.7606,0.3698,268,0.6759,1,0.4496920390667373,1,0
4.8,20,1.0,0.6415,0.7338,0.7554,0.3916,266,0.6668,1,0.4646208238983699,1,0
5.0,21,1.0,0.6322,0.6953,0.7587,0.4075,256,0.7238,1,0.4918735304933576,1,0
5.2,22,1.0,0.6008,0.7072,0.722,0.3884,299,0.6803,1,0.5050691239820546,1,0
5.4,23,1.0,0.6283,0.6969,0.7796,0.4177,274,0.6491,0,0.49434727671951434,1,0
5.6,24,1.0,0.5984,0.7084,0.7288,0.4271,320,0.6657,1,0.5281927583751977,1,0
5.8,25,1.0,0.5763,0.6969,0.7386,0.4082,311,0.6732,0,0.5291946522783465,1,0
6.0,26,1.0,0.6037,0.7078,0.7162,0.4472,334,0.6495,1,0.5432982514236541,1,0
6.2,27,1.0,0.6447,0.6982,0.7457,0.445,337,0.6551,1,0.5144802620120621,1,0
6.4,28,1.0,0.5864,0.6751,0.7265,0.4261,296,0.6726,1,0.5461818836248599,1,0
6.6,29,1.0,0.5977,0.6875,0.7097,0.4263,353,0.6378,1,0.5416339169586779,1,0
6.8,30,1.0,0.6151,0.713,0.7452,0.4518,347,0.6712,1,0.5293715424916606,1,0
