Accession,Year,Subtype,Host,cluster_name,antigenic_distance,drift_binary_label
BAJ10043,2009,H1N1,Human,pandemic-founding,1,0
CDR50089,2009,H1N1,Human,pandemic-founding,1,0
CDR50099,2004,H1N1,Human,pre-pandemic,0,0
ABD59848,1997,H1N1,Human,pre-pandemic,0,0
ABD59847,1996,H1N1,Human,pre-pandemic,0,0
ABD59849,1999,H1N1,Human,pre-pandemic,0,0
CEG06584,2009,H1N1,Human,pandemic-founding,1,0
CAA35094,1983,H1N1,Human,pre-pandemic,0,0
CAC18524,1983,H1N1,Human,pre-pandemic,0,0
CDJ79888,2009,H1N1,Human,pandemic-founding,1,0
CAC86622,1999,H1N1,Human,pre-pandemic,0,0
CAA24272,1934,H1N1,Human,pre-pandemic,0,0
CCH23213,1934,H1N1,Human,pre-pandemic,0,0
CBG91988,2009,H1N1,Human,pandemic-founding,1,0
CBG91922,2009,H1N1,Human,pandemic-founding,1,0
CAC86625,1995,H1N1,Human,pre-pandemic,0,0
CCH23215,1976,H1N1,Avian,pre-pandemic,0,0
BAF03627,1977,H1N1,Avian,pre-pandemic,0,0
BAA01280,1976,H1N1,Avian,pre-pandemic,0,0
BAF03629,1996,H1N1,Avian,pre-pandemic,0,0
CCH23216,1999,H1N1,Avian,pre-pandemic,0,0
ACR78585,2009,H1N1,Human,pandemic-founding,1,0
AAM75158,1934,H1N1,Human,pre-pandemic,0,0
CAA91083,1991,H1N1,Human,pre-pandemic,0,0
AAA43206,1977,H1N1,Human,pre-pandemic,0,0
AAD25307,1980,H1N1,Avian,pre-pandemic,0,0
AAD25308,1977,H1N1,Avian,pre-pandemic,0,0
AAT65329,1998,H1N1,Avian,pre-pandemic,0,0
AAD25304,1976,H1N1,Avian,pre-pandemic,0,0
AAD25306,1985,H1N1,Avian,pre-pandemic,0,0
AAD25305,1981,H1N1,Avian,pre-pandemic,0,0
ABP49327,1945,H1N1,Human,pre-pandemic,0,0
ABO38054,1943,H1N1,Human,pre-pandemic,0,0
ADX98960,2009,H1N1,Human,pandemic-founding,1,0
ADH01958,2009,H1N1,Human,pandemic-founding,1,0
ADX98792,2009,H1N1,Human,pandemic-founding,1,0
ADG42153,2009,H1N1,Human,pandemic-founding,1,0
ADG42163,2009,H1N1,Human,pandemic-founding,1,0
ADK33681,2009,H1N1,Human,pandemic-founding,1,0
ADK33691,2009,H1N1,Human,pandemic-founding,1,0
ADX98777,2009,H1N1,Human,pandemic-founding,1,0
ADK33701,2009,H1N1,Human,pandemic-founding,1,0
ADK33711,2009,H1N1,Human,pandemic-founding,1,0
ADK33811,2009,H1N1,Human,pandemic-founding,1,0
ADK33821,2009,H1N1,Human,pandemic-founding,1,0
AHM98504,2011,H1N1,Human,pandemic-founding,1,0
AHM98515,2011,H1N1,Human,pandemic-founding,1,0
AHM98526,2011,H1N1,Human,pandemic-founding,1,0
AGB13560,2011,H1N1,Human,pandemic-founding,1,0
AGB13570,2011,H1N1,Human,pandemic-founding,1,0
