Year,H1N1,H3N2,Other,Total
1902,0,0,1,1
1918,1,0,0,1
1925,0,0,1,1
1927,0,0,2,2
1933,3,0,0,3
1934,8,0,5,13
1935,4,0,0,4
1936,1,0,0,1
1940,1,0,0,1
1942,1,0,0,1
1943,3,0,0,3
1945,1,0,1,2
1946,3,0,0,3
1947,4,0,0,4
1948,2,0,0,2
1949,1,0,2,3
1950,3,0,0,3
1951,6,0,0,6
1953,2,0,1,3
1954,2,0,0,2
1956,2,0,12,14
1957,2,0,30,32
1958,0,0,7,7
1959,0,0,7,7
1960,0,0,3,3
1961,0,0,4,4
1962,0,0,1,1
1963,0,0,16,16
1964,0,0,6,6
1965,0,0,8,8
1966,0,0,12,12
1967,0,0,13,13
1968,0,30,16,46
1969,0,5,1,6
1970,0,3,0,3
1971,0,7,4,11
1972,0,15,8,23
1973,0,6,6,12
1974,0,11,21,32
1975,0,15,36,51
1976,13,18,80,111
1977,11,13,60,84
1978,9,15,57,81
1979,13,5,78,96
1980,11,9,60,80
1981,4,3,40,47
1982,3,10,59,72
1983,16,9,72,97
1984,4,4,37,45
1985,3,12,56,71
1986,6,10,57,73
1987,5,5,58,68
1988,6,16,50,72
1989,3,20,23,46
1990,2,9,19,30
1991,8,14,39,61
1992,4,22,20,46
1993,5,54,31,90
1994,4,46,79,129
1995,25,44,67,136
1996,24,76,67,167
1997,6,51,98,155
1998,12,67,116,195
1999,9,115,207,331
2000,37,94,228,359
2001,56,52,287,395
2002,22,130,356,508
2003,16,183,350,549
2004,10,180,444,634
2005,54,173,780,1007
2006,108,104,1191,1403
2007,273,295,1322,1890
2008,294,258,1006,1558
2009,2207,365,1083,3655
2010,779,388,959,2126
2011,575,494,1135,2204
2012,295,707,926,1928
2013,503,518,1158,2179
2014,301,674,1667,2642
2015,173,785,614,1572
2016,395,707,173,1275
2017,54,1301,70,1425
2018,0,784,27,811
2019,0,653,32,685
2020,0,64,1,65
