Year,subtype_group,count,min,max,mean,std,mode
1902,Other,1,563,563,563.0,,563
1918,H1N1,1,566,566,566.0,,566
1925,Other,1,550,550,550.0,,550
1927,Other,2,563,563,563.0,0.0,563
1933,H1N1,3,565,566,565.67,0.58,566
1934,H1N1,8,565,566,565.25,0.46,565
1934,Other,5,563,563,563.0,0.0,563
1935,H1N1,4,565,566,565.75,0.5,566
1936,H1N1,1,566,566,566.0,,566
1940,H1N1,1,566,566,566.0,,566
1942,H1N1,1,566,566,566.0,,566
1943,H1N1,3,565,566,565.67,0.58,566
1945,H1N1,1,566,566,566.0,,566
1945,Other,1,552,552,552.0,,552
1946,H1N1,3,566,566,566.0,0.0,566
1947,H1N1,4,566,566,566.0,0.0,566
1948,H1N1,2,556,566,561.0,7.07,556
1949,H1N1,1,566,566,566.0,,566
1949,Other,2,561,561,561.0,0.0,561
1950,H1N1,3,566,566,566.0,0.0,566
1951,H1N1,6,566,566,566.0,0.0,566
1953,H1N1,2,559,566,562.5,4.95,559
1953,Other,1,561,561,561.0,,561
1954,H1N1,2,566,566,566.0,0.0,566
1956,H1N1,2,554,555,554.5,0.71,554
1956,Other,12,543,565,562.67,6.21,564
1957,H1N1,2,565,565,565.0,0.0,565
1957,Other,30,560,562,561.93,0.37,562
1958,Other,7,551,562,560.43,4.16,562
1959,Other,7,560,564,562.57,1.51,562
1960,Other,3,562,562,562.0,0.0,562
1961,Other,4,562,568,565.0,3.46,562
1962,Other,1,562,562,562.0,,562
1963,Other,16,541,566,561.44,6.43,562
1964,Other,6,560,562,561.67,0.82,562
1965,Other,8,561,567,563.0,2.51,562
1966,Other,12,553,565,561.17,3.41,560
1967,Other,13,562,566,562.77,1.54,562
1968,H3N2,30,566,566,566.0,0.0,566
1968,Other,16,548,566,561.81,3.9,562
1969,H3N2,5,566,566,566.0,0.0,566
1969,Other,1,566,566,566.0,,566
1970,H3N2,3,566,566,566.0,0.0,566
1971,H3N2,7,566,566,566.0,0.0,566
1971,Other,4,559,560,559.5,0.58,559
1972,H3N2,15,550,566,564.67,4.19,566
1972,Other,8,548,566,562.25,6.18,566
1973,H3N2,6,566,566,566.0,0.0,566
1973,Other,6,544,566,559.67,8.5,565
1974,H3N2,11,562,566,565.64,1.21,566
1974,Other,21,560,566,565.05,1.43,566
1975,H3N2,15,562,567,565.93,1.16,566
1975,Other,36,545,566,563.67,5.01,566
1976,H1N1,13,553,566,565.0,3.61,566
1976,H3N2,18,547,566,564.94,4.48,566
1976,Other,80,543,567,563.85,4.32,566
1977,H1N1,11,566,566,566.0,0.0,566
1977,H3N2,13,566,566,566.0,0.0,566
1977,Other,60,550,566,563.28,3.78,566
1978,H1N1,9,566,566,566.0,0.0,566
1978,H3N2,15,566,566,566.0,0.0,566
1978,Other,57,552,566,563.67,2.77,566
1979,H1N1,13,563,566,565.77,0.83,566
1979,H3N2,5,566,566,566.0,0.0,566
1979,Other,78,557,570,563.15,2.71,566
1980,H1N1,11,548,566,563.82,5.55,566
1980,H3N2,9,566,566,566.0,0.0,566
1980,Other,60,548,566,562.83,4.06,566
1981,H1N1,4,566,566,566.0,0.0,566
1981,H3N2,3,566,566,566.0,0.0,566
1981,Other,40,548,566,562.83,3.15,564
1982,H1N1,3,566,566,566.0,0.0,566
1982,H3N2,10,550,566,561.2,7.73,566
1982,Other,59,549,568,563.92,3.85,566
1983,H1N1,16,566,566,566.0,0.0,566
1983,H3N2,9,566,566,566.0,0.0,566
1983,Other,72,546,570,563.51,4.11,564
1984,H1N1,4,566,566,566.0,0.0,566
1984,H3N2,4,566,566,566.0,0.0,566
1984,Other,37,560,566,563.92,1.55,564
1985,H1N1,3,566,566,566.0,0.0,566
1985,H3N2,12,566,566,566.0,0.0,566
1985,Other,56,541,566,562.34,5.0,566
1986,H1N1,6,566,566,566.0,0.0,566
1986,H3N2,10,550,566,564.0,5.08,566
1986,Other,57,545,566,563.74,3.1,566
1987,H1N1,5,566,566,566.0,0.0,566
1987,H3N2,5,566,566,566.0,0.0,566
1987,Other,58,545,566,563.22,4.21,566
1988,H1N1,6,565,566,565.83,0.41,566
1988,H3N2,16,562,566,565.25,1.61,566
1988,Other,50,560,566,563.2,2.23,562
1989,H1N1,3,566,566,566.0,0.0,566
1989,H3N2,20,562,566,565.6,1.23,566
1989,Other,23,541,566,562.26,6.84,566
1990,H1N1,2,566,566,566.0,0.0,566
1990,H3N2,9,562,566,565.56,1.33,566
1990,Other,19,561,566,564.16,1.8,566
1991,H1N1,8,561,566,564.88,2.1,566
1991,H3N2,14,566,566,566.0,0.0,566
1991,Other,39,557,567,563.9,2.58,566
1992,H1N1,4,566,566,566.0,0.0,566
1992,H3N2,22,566,566,566.0,0.0,566
1992,Other,20,541,566,561.9,7.05,566
1993,H1N1,5,566,566,566.0,0.0,566
1993,H3N2,54,566,566,566.0,0.0,566
1993,Other,31,545,566,562.06,5.27,566
1994,H1N1,4,566,566,566.0,0.0,566
1994,H3N2,46,562,566,565.91,0.59,566
1994,Other,79,542,566,562.63,4.46,566
1995,H1N1,25,554,566,564.24,3.79,566
1995,H3N2,44,563,566,565.93,0.45,566
