,AAD17229,CAA24272,CCH23213,ABO38351,AAA92280,ABP49327,ABO38054,AGQ47776,AEM23889,ABP49481,ABQ44471,AGQ47811,ADT78941,AHN02780,AHN00717,AHN00764,ABB19540,CAA35094,ABD95339,AAA16880,ACK99443,ABI20870,ABI95261,AGG27322,AAK70454,AJK03632,ACR78164,ADO14362,AJK02430,AOZ86414,AEI86804,AEJ82798,AJE62485
AAD17229,0.0,0.10600706713780919,0.7185840707964601,0.09187279151943463,0.09540636042402827,0.11130742049469965,0.10777385159010601,0.12897526501766785,0.13427561837455831,0.1254416961130742,0.127208480565371,0.12367491166077739,0.13237924865831843,0.07420494699646643,0.08833922261484099,0.08833922261484099,0.07243816254416961,0.127208480565371,0.13250883392226148,0.07950530035335689,0.12897526501766785,0.13427561837455831,0.736283185840708,0.08833922261484099,0.7380530973451327,0.7415929203539823,0.14056939501779359,0.1413427561837456,0.7380530973451327,0.1501766784452297,0.14487632508833923,0.14487632508833923,0.1413427561837456
CAA24272,0.10600706713780919,0.0,0.6991150442477876,0.037102473498233215,0.07420494699646643,0.0636042402826855,0.06007067137809187,0.08480565371024736,0.10424028268551237,0.08833922261484099,0.09010600706713781,0.08480565371024736,0.1037567084078712,0.15724381625441697,0.1519434628975265,0.1519434628975265,0.15371024734982333,0.09187279151943463,0.09363957597173145,0.1625441696113074,0.0989399293286219,0.10247349823321555,0.7398230088495575,0.1696113074204947,0.7433628318584071,0.7469026548672566,0.17793594306049823,0.17491166077738515,0.7433628318584071,0.18197879858657243,0.18197879858657243,0.18374558303886926,0.18021201413427562
CCH23213,0.7185840707964601,0.6991150442477876,0.0,0.6991150442477876,0.7079646017699115,0.7150442477876107,0.7115044247787611,0.7168141592920354,0.7256637168141593,0.7221238938053097,0.7238938053097345,0.7256637168141593,0.7209302325581395,0.736283185840708,0.7309734513274336,0.7309734513274336,0.7380530973451327,0.727433628318584,0.727433628318584,0.7380530973451327,0.7292035398230089,0.736283185840708,0.11858407079646018,0.7433628318584071,0.12212389380530973,0.1433628318584071,0.7455516014234875,0.7469026548672566,0.13274336283185842,0.7469026548672566,0.7504424778761062,0.7469026548672566,0.7486725663716814
ABO38351,0.09187279151943463,0.037102473498233215,0.6991150442477876,0.0,0.06007067137809187,0.053003533568904596,0.04946996466431095,0.07420494699646643,0.09717314487632508,0.0812720848056537,0.08303886925795052,0.0812720848056537,0.09838998211091235,0.14664310954063603,0.1431095406360424,0.1431095406360424,0.1431095406360424,0.09010600706713781,0.09010600706713781,0.1519434628975265,0.0989399293286219,0.10600706713780919,0.7345132743362832,0.15724381625441697,0.7380530973451327,0.7415929203539823,0.17437722419928825,0.17137809187279152,0.7380530973451327,0.1784452296819788,0.1784452296819788,0.18021201413427562,0.17667844522968199
AAA92280,0.09540636042402827,0.07420494699646643,0.7079646017699115,0.06007067137809187,0.0,0.08303886925795052,0.07950530035335689,0.09717314487632508,0.0989399293286219,0.10070671378091872,0.10247349823321555,0.09540636042402827,0.1037567084078712,0.1431095406360424,0.15547703180212014,0.15547703180212014,0.13957597173144876,0.09540636042402827,0.10247349823321555,0.14840989399293286,0.10600706713780919,0.11307420494699646,0.7380530973451327,0.15724381625441697,0.7433628318584071,0.7469026548672566,0.18505338078291814,0.18374558303886926,0.7433628318584071,0.1872791519434629,0.18904593639575973,0.19081272084805653,0.1872791519434629
ABP49327,0.11130742049469965,0.0636042402826855,0.7150442477876107,0.053003533568904596,0.08303886925795052,0.0,0.01060070671378092,0.045936395759717315,0.07597173144876325,0.053003533568904596,0.054770318021201414,0.054770318021201414,0.07513416815742398,0.1519434628975265,0.15371024734982333,0.15371024734982333,0.1519434628975265,0.07243816254416961,0.06713780918727916,0.15547703180212014,0.07950530035335689,0.09187279151943463,0.7327433628318584,0.16431095406360424,0.7380530973451327,0.7469026548672566,0.19395017793594305,0.19081272084805653,0.7415929203539823,0.19081272084805653,0.19257950530035337,0.1978798586572438,0.19081272084805653
ABO38054,0.10777385159010601,0.06007067137809187,0.7115044247787611,0.04946996466431095,0.07950530035335689,0.01060070671378092,0.0,0.04063604240282685,0.0706713780918728,0.04770318021201413,0.04946996466431095,0.053003533568904596,0.06976744186046512,0.14840989399293286,0.15371024734982333,0.15371024734982333,0.14840989399293286,0.0706713780918728,0.06537102473498234,0.1519434628975265,0.07773851590106007,0.09010600706713781,0.7309734513274336,0.1607773851590106,0.736283185840708,0.7451327433628319,0.1903914590747331,0.1872791519434629,0.7398230088495575,0.18904593639575973,0.19257950530035337,0.19081272084805653,0.19081272084805653
AGQ47776,0.12897526501766785,0.08480565371024736,0.7168141592920354,0.07420494699646643,0.09717314487632508,0.045936395759717315,0.04063604240282685,0.0,0.04946996466431095,0.024734982332155476,0.026501766784452298,0.0353356890459364,0.04830053667262969,0.1625441696113074,0.1696113074204947,0.1696113074204947,0.1625441696113074,0.054770318021201414,0.05123674911660778,0.16607773851590105,0.06890459363957598,0.0812720848056537,0.7309734513274336,0.17314487632508835,0.736283185840708,0.7451327433628319,0.19750889679715303,0.19434628975265017,0.7398230088495575,0.196113074204947,0.19964664310954064,0.1978798586572438,0.1978798586572438
AEM23889,0.13427561837455831,0.10424028268551237,0.7256637168141593,0.09717314487632508,0.0989399293286219,0.07597173144876325,0.0706713780918728,0.04946996466431095,0.0,0.037102473498233215,0.038869257950530034,0.061837455830388695,0.01073345259391771,0.16607773851590105,0.17491166077738515,0.17491166077738515,0.16607773851590105,0.07420494699646643,0.0706713780918728,0.1696113074204947,0.08480565371024736,0.09363957597173145,0.7380530973451327,0.17491166077738515,0.7433628318584071,0.7451327433628319,0.20462633451957296,0.20141342756183744,0.7433628318584071,0.2049469964664311,0.2067137809187279,0.2049469964664311,0.2049469964664311
ABP49481,0.1254416961130742,0.08833922261484099,0.7221238938053097,0.0812720848056537,0.10070671378091872,0.053003533568904596,0.04770318021201413,0.024734982332155476,0.037102473498233215,0.0,0.0017667844522968198,0.038869257950530034,0.03398926654740608,0.16431095406360424,0.1696113074204947,0.1696113074204947,0.16431095406360424,0.06007067137809187,0.05653710247349823,0.16784452296819788,0.0706713780918728,0.08303886925795052,0.7345132743362832,0.17491166077738515,0.7398230088495575,0.7469026548672566,0.19572953736654805,0.19257950530035337,0.7415929203539823,0.1978798586572438,0.1978798586572438,0.196113074204947,0.196113074204947
