Accession,Year,historical_cluster,kmeans_cluster
ABD59853,2003,FU02,2
ABD59854,2003,FU02,2
ABD59851,2002,FU02,2
ABD59852,2002,FU02,2
ABD59855,2004,Other,10
ABD59850,2002,FU02,2
ABD59857,2004,Other,10
ABD59856,2004,Other,10
ABB51964,2004,Other,10
BAR64315,2014,Other,0
CAA24269,1968,HK68,11
BAF48361,1968,HK68,11
BAM99169,2013,Other,0
CDJ79889,2005,Other,10
BAN60464,1978,TX77,4
BAF34924,1977,TX77,4
BAL70286,2011,Other,9
BAR72445,2014,Other,0
BAR72412,2013,Other,0
BAM42775,2011,Other,9
BAQ35771,2011,Other,9
BAQ35881,2013,Other,0
BAI68198,2009,Other,5
BAQ35804,2012,Other,9
BAM78723,2012,Other,9
BAR72423,2014,Other,0
BAJ05791,2009,Other,5
CAC81013,1988,SI87,1
CAC81017,1988,SI87,1
ARC53078,2016,Other,6
BAN81712,1968,HK68,11
AAA43187,1971,HK68,11
AAP23238,1998,SY97,12
AIU46064,2003,FU02,2
ADK22398,2010,Other,5
ADK22399,2010,Other,5
ALM06006,2013,Other,0
ABR18477,1968,HK68,11
BAF37221,1968,HK68,11
AAA43239,1968,HK68,11
AFH00065,1993,BE92,7
AGK74269,2011,Other,9
ALH33348,2015,Other,6
AQS21142,2017,Other,8
QBS20533,2019,Other,3
AGL07340,2012,Other,9
ALH25669,2015,Other,6
AQS21130,2017,Other,8
AGK74346,2011,Other,9
ANM96285,2016,Other,6
AGL06595,2011,Other,9
AQS21166,2017,Other,8
QBS20586,2019,Other,3
APB89527,2015,Other,6
QBY32543,2019,Other,3
AQW36897,2017,Other,8
AGK73865,2010,Other,5
AGL07299,2012,Other,9
AGZ60405,2013,Other,0
ALH34492,2015,Other,6
QBP38197,2019,Other,3
AGK74027,2010,Other,5
ALH30584,2014,Other,0
ANN00839,2016,Other,6
ALH31501,2014,Other,0
ARQ87035,2017,Other,8
AJK03598,2010,Other,5
APO18502,2016,Other,6
AXY84185,2018,Other,8
APY25627,2016,Other,6
AXY84197,2018,Other,8
ARQ86999,2017,Other,8
APT38627,2016,Other,6
AGZ60529,2012,Other,9
ARQ86975,2017,Other,8
AGZ61327,2012,Other,9
AXA18508,2018,Other,8
QDX11331,2019,Other,3
ASB16679,2017,Other,8
ASB16691,2017,Other,8
AXA18520,2018,Other,8
QCW13133,2019,Other,3
QDX11350,2019,Other,3
QFZ88334,2019,Other,3
ATZ78761,2017,Other,8
QGW43929,2019,Other,3
AXB52503,2018,Other,8
AUM85254,2017,Other,8
AGF44915,2012,Other,9
AGF44916,2012,Other,9
AGL09731,2012,Other,9
AGL09733,2013,Other,0
AIC73741,2014,Other,0
ALA08472,2014,Other,0
ALA08473,2014,Other,0
ALA08491,2014,Other,0
ALE31613,2014,Other,0
ALE31614,2014,Other,0
ALE31615,2015,Other,6
ALE31774,2015,Other,6
QBS20651,2018,Other,8
ALE31996,2015,Other,6
ALN39661,2015,Other,6
ATD11091,2017,Other,8
ATD11252,2017,Other,8
ATD11253,2017,Other,8
ATD11254,2017,Other,8
AXX75325,2018,Other,8
AXX75328,2018,Other,8
ABV30657,2007,Other,13
ABV30415,2007,Other,13
AEK28839,2009,Other,5
AGK73957,2011,Other,9
AQS19841,2017,Other,8
QBS20658,2019,Other,3
AGL07024,2012,Other,9
AGZ61268,2013,Other,0
AQS19853,2017,Other,8
AGF68882,2010,Other,5
AGL06725,2012,Other,9
ACJ73748,2008,Other,13
AGZ61102,2012,Other,9
AGZ61508,2013,Other,0
AOZ85205,2016,Other,6
AQW35967,2017,Other,8
QBP38221,2019,Other,3
ACA33696,2007,Other,13
AGK74009,2010,Other,5
AGK73561,2010,Other,5
AGZ61491,2013,Other,0
AIE09721,2014,Other,0
AQZ37663,2017,Other,8
AGZ60403,2013,Other,0
AIE09701,2014,Other,0
ANM99650,2016,Other,6
AQZ37675,2017,Other,8
ARB17635,2017,Other,8
AXA18544,2018,Other,8
ALH36714,2015,Other,6
ARB17647,2017,Other,8
AGK74823,2011,Other,9
ANE26010,2015,Other,6
AXY84209,2018,Other,8
QBS19914,2019,Other,3
ANE26031,2015,Other,6
ANE26115,2015,Other,6
ARQ87082,2017,Other,8
ANE26175,2015,Other,6
ANE26199,2015,Other,6
ANE26211,2015,Other,6
AGK74417,2011,Other,9
ASK81470,2017,Other,8
ANE26247,2015,Other,6
ALH37717,2015,Other,6
ALH37729,2015,Other,6
AIE09806,2013,Other,0
ALH37775,2015,Other,6
AMB67489,2015,Other,6
AMB68393,2015,Other,6
AGL06602,2012,Other,9
ASK82217,2017,Other,8
ANM95420,2015,Other,6
ANM95444,2015,Other,6
ANM95456,2015,Other,6
AGL07106,2011,Other,9
ALH37898,2015,Other,6
ANM95492,2015,Other,6
QDX11422,2019,Other,3
AGL06697,2012,Other,9
ANM95689,2015,Other,6
AGL06447,2011,Other,9
ASU07705,2017,Other,8
AMB70626,2015,Other,6
AMB70893,2015,Other,6
AGZ61273,2012,Other,9
AOZ85009,2016,Other,6
ASU07681,2017,Other,8
AMB70638,2015,Other,6
AMB70941,2015,Other,6
AGZ61231,2012,Other,9
AGZ61246,2012,Other,9
AOT89615,2016,Other,6
AXB52577,2018,Other,8
QDE06313,2019,Other,3
APC60106,2015,Other,6
QED94974,2019,Other,3
APC60094,2015,Other,6
AMB70733,2015,Other,6
